heure;variable;valeur
15/06/2023 17:50:00;PREVA408601_ETA;0
15/06/2023 17:50:00;PREVA408701_ETA;0
15/06/2023 17:50:00;PREVA408801_ETA;0
15/06/2023 17:50:00;PREVA408901_ETA;0
15/06/2023 17:50:00;PREVA409001_ETA;0
15/06/2023 17:50:00;PREVA409101_ETA;0
15/06/2023 17:50:00;PREVA409201_ETA;0
15/06/2023 17:50:00;PREVA815809_ANIM;0
15/06/2023 17:50:00;PREVA915808_ANIM;0
15/06/2023 17:50:00;PRLIC4750_MES;0
15/06/2023 17:50:00;PRMEC815802_MES;0
15/06/2023 17:50:00;PRMEC915839_MES;0
15/06/2023 17:50:00;PRMED400804_MES;0
15/06/2023 17:50:00;PRMED401514_MES;0
15/06/2023 17:50:00;PRMED403514_MES;0
15/06/2023 17:50:00;PRMED476203_MES;0
15/06/2023 17:50:00;PRMED476204_MES;0
15/06/2023 17:50:00;PRMED476603_MES;0
15/06/2023 17:50:00;PRMED476604_MES;0
15/06/2023 17:50:00;PRMED715303_MES;0
15/06/2023 17:50:00;PRMED715304_MES;0
15/06/2023 17:50:00;PRMED715801_MES;0
15/06/2023 17:50:00;PRMED716801_MES;0
15/06/2023 17:50:00;PRMED815804_MES;0
15/06/2023 17:50:00;PRMED915811_MES;0
15/06/2023 17:50:00;PRMEI000301_MES;0
15/06/2023 17:50:00;PRMEI000501_MES;0
15/06/2023 17:50:00;PRMEI000601_MES;0
15/06/2023 17:50:00;PRMEI100401_MES;0
